,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
89,4,Ed Sharockman,45.0,24.0,DB,14,14.0,200.0,6-0,Pittsburgh,11/4/1939,2,8.0,"Minnesota Vikings / 5th / 57th pick / 1961, Dallas Texans / 22nd / 174th pick / 1961",1963,
90,5,Don Hultz,83.0,23.0,DE,14,14.0,241.0,6-3,Southern Miss,12/16/1940,Rook,8.0,,1963,
91,6,Larry Bowie,61.0,24.0,G,14,14.0,245.0,6-2,Purdue,10/13/1939,1,7.0,"Dallas Texans / 8th / 59th pick / 1962, Minnesota Vikings / 6th / 73rd pick / 1962",1963,
92,7,Mick Tingelhoff,53.0,23.0,C,14,14.0,237.0,6-2,Nebraska,5/22/1940,1,7.0,,1963,
93,8,Jim Marshall,70.0,26.0,DE,14,14.0,248.0,6-4,Ohio St.,12/30/1937,3,7.0,Cleveland Browns / 4th / 44th pick / 1960,1963,
94,9,Errol Linden,73.0,26.0,T,14,14.0,258.0,6-5,Houston,10/21/1937,2,7.0,"Detroit Lions / 10th / 135th pick / 1961, Houston Oilers / 29th / 232nd pick / 1961",1963,
95,10,Jerry Huth,65.0,30.0,G,13,13.0,226.0,6-0,Wake Forest,7/23/1933,7,7.0,New York Giants / 24th / 285th pick / 1956,1963,
96,11,Rip Hawkins,58.0,24.0,LB,14,14.0,235.0,6-3,North Carolina,4/21/1939,2,7.0,"Boston Patriots / 2nd / 12th pick / 1961, Minnesota Vikings / 2nd / 15th pick / 1961",1963,
97,12,Jim Prestel,79.0,26.0,DT,14,14.0,275.0,6-5,Idaho,6/28/1937,3,6.0,Cleveland Browns / 6th / 70th pick / 1959,1963,
98,13,Roy Winston,60.0,23.0,LB,14,14.0,222.0,5-11,LSU,9/15/1940,1,6.0,"San Diego Chargers / 6th / 42nd pick / 1962, Minnesota Vikings / 4th / 45th pick / 1962",1963,
99,14,Bill Brown,30.0,25.0,RB,14,13.0,228.0,5-11,Illinois,6/29/1938,2,6.0,"Chicago Bears / 2nd / 20th pick / 1961, New York Titans / 6th / 42nd pick / 1961",1963,
100,15,Paul Dickson,76.0,26.0,DT,14,14.0,252.0,6-5,Baylor,2/26/1937,4,6.0,Los Angeles Rams / 1st / 9th pick / 1959,1963,
101,16,Lee Calland,23.0,22.0,DB,14,14.0,190.0,6-0,Louisville,9/14/1941,Rook,6.0,,1963,
102,17,Jerry Reichow,89.0,29.0,E,14,14.0,217.0,6-2,Iowa,5/19/1934,7,5.0,Detroit Lions / 4th / 38th pick / 1956,1963,
103,18,Ray Poage,86.0,23.0,TE,7,7.0,208.0,6-4,Texas,11/14/1940,Rook,4.0,"Denver Broncos / 2nd / 11th pick / 1963, Minnesota Vikings / 3rd / 31st pick / 1963",1963,
104,19,Steve Stonebreaker,82.0,25.0,LB,14,10.0,223.0,6-3,Detroit Mercy,10/28/1938,1,4.0,"Denver Broncos / 34th / 266th pick / 1962, Minnesota Vikings / 12th / 155th pick / 1961",1963,
105,20,Tom Franckhauser,40.0,26.0,DB,14,7.0,195.0,6-0,Purdue,5/26/1937,4,4.0,Los Angeles Rams / 3rd / 33rd pick / 1959,1963,
106,21,Dave O'Brien,74.0,22.0,T,14,0.0,247.0,6-3,Boston Col.,6/13/1941,Rook,4.0,"Boston Patriots / 18th / 142nd pick / 1963, Minnesota Vikings / 13th / 171st pick / 1963",1963,
107,22,Fred Cox,14.0,25.0,K,14,0.0,200.0,5-11,Pittsburgh,12/11/1938,Rook,4.0,"Cleveland Browns / 8th / 110th pick / 1961, New York Titans / 28th / 221st pick / 1961",1963,
108,23,Chuck Lamson,21.0,24.0,DB,12,8.0,190.0,6-0,"Iowa St.,Wyoming",3/14/1939,1,4.0,Minnesota Vikings / 4th / 43rd pick / 1961,1963,
109,24,John Campbell,55.0,25.0,LLB,14,0.0,225.0,6-3,Minnesota,10/7/1938,Rook,3.0,"Kansas City Chiefs / 5th / 40th pick / 1963, Minnesota Vikings / 11th / 143rd pick / 1963",1963,
110,25,Terry Kosens,26.0,22.0,DB,8,6.0,195.0,6-3,Hofstra,10/3/1941,Rook,3.0,Minnesota Vikings / 10th / 128th pick / 1963,1963,
111,26,Tommy Wilson,24.0,31.0,HB,8,2.0,203.0,6-0,none,9/1/1932,7,3.0,,1963,
112,27,Bob Denton,62.0,29.0,DE,14,0.0,244.0,6-3,Pacific,7/24/1934,3,3.0,Cleveland Browns / 6th / 71st pick / 1959,1963,
113,28,Terry Dillon,25.0,22.0,DB,7,7.0,193.0,6-0,Montana,8/18/1941,Rook,3.0,Oakland Raiders / 18th / 137th pick / 1963,1963,
114,29,Pat Russ,75.0,23.0,DT,14,0.0,255.0,6-3,Purdue,1/8/1940,Rook,3.0,"Oakland Raiders / 16th / 121st pick / 1962, Minnesota Vikings / 14th / 185th pick / 1962",1963,
115,30,Gordie Smith,87.0,24.0,TE,14,6.0,220.0,6-2,"Arizona St.,Missouri",4/9/1939,2,2.0,,1963,
116,31,Ron Vander Kelen,11.0,24.0,QB,6,1.0,185.0,6-1,Wisconsin,11/6/1939,Rook,2.0,New York Jets / 21st / 163rd pick / 1963,1963,
117,32,Karl Kassulke,29.0,22.0,DB,14,1.0,195.0,6-0,"Marquette,Drake",3/20/1941,Rook,2.0,Detroit Lions / 11th / 152nd pick / 1963,1963,
118,33,Bill Butler,22.0,26.0,DB,14,0.0,189.0,5-10,Chattanooga,7/10/1937,4,2.0,Green Bay Packers / 19th / 217th pick / 1959,1963,
119,34,Bobby Reed,27.0,24.0,HB,10,0.0,187.0,5-11,Pacific,11/14/1939,1,2.0,,1963,
120,35,Jim Battle,63.0,25.0,G,14,1.0,240.0,6-0,Southern Illinois,2/20/1938,Rook,2.0,,1963,
121,36,Bill Jobko,57.0,28.0,LB,13,4.0,224.0,6-2,Ohio St.,10/7/1935,5,2.0,Los Angeles Rams / 7th / 80th pick / 1958,1963,
122,37,Jim Boylan,80.0,24.0,WR,3,0.0,185.0,6-1,Washington St.,3/19/1939,Rook,1.0,,1963,
123,38,Leon Clarke,81.0,30.0,E,3,0.0,232.0,6-4,USC,1/10/1933,7,0.0,Los Angeles Rams / 2nd / 14th pick / 1956,1963,
124,39,Bob Ferguson,35.0,24.0,FB,2,0.0,220.0,5-11,Ohio St.,8/29/1939,1,0.0,"Pittsburgh Steelers / 1st / 5th pick / 1962, San Diego Chargers / 1st / 8th pick / 1962",1963,
125,40,Team Total,,24.8,,14,,218.7,6-1.5,,,2.0,,,1963,
126,0,Bill Brown,30.0,26.0,RB,14,14.0,228.0,5-11,Illinois,6/29/1938,3,16.0,"Chicago Bears / 2nd / 20th pick / 1961, New York Titans / 6th / 42nd pick / 1961",1964,
127,1,Fran Tarkenton,10.0,24.0,QB,14,14.0,190.0,6-0,Georgia,2/3/1940,3,14.0,"Minnesota Vikings / 3rd / 29th pick / 1961, Boston Patriots / 5th / 35th pick / 1961",1964,
128,2,Mick Tingelhoff,53.0,24.0,C,14,14.0,237.0,6-2,Nebraska,5/22/1940,2,13.0,,1964,
129,3,George Rose,44.0,22.0,DB,14,13.0,200.0,5-11,Auburn,1/1/1942,Rook,10.0,"Buffalo Bills / 3rd / 21st pick / 1964, Minnesota Vikings / 3rd / 34th pick / 1964",1964,
130,4,Grady Alderman,67.0,26.0,T,14,14.0,247.0,6-2,Detroit Mercy,12/10/1938,4,9.0,Detroit Lions / 10th / 111th pick / 1960,1964,
131,5,Carl Eller,81.0,22.0,DE,14,14.0,247.0,6-6,Minnesota,1/25/1942,Rook,9.0,"Buffalo Bills / 1st / 5th pick / 1964, Minnesota Vikings / 1st / 6th pick / 1964",1964,
132,6,Ed Sharockman,45.0,25.0,DB,14,14.0,200.0,6-0,Pittsburgh,11/4/1939,3,9.0,"Minnesota Vikings / 5th / 57th pick / 1961, Dallas Texans / 22nd / 174th pick / 1961",1964,
133,7,Tommy Mason,20.0,25.0,RB,13,12.0,196.0,6-1,Tulane,7/8/1939,3,9.0,"Minnesota Vikings / 1st / 1st pick / 1961, Boston Patriots / 1st / 3rd pick / 1961",1964,
134,8,Karl Kassulke,29.0,23.0,DB,14,14.0,195.0,6-0,"Marquette,Drake",3/20/1941,1,9.0,Detroit Lions / 11th / 152nd pick / 1963,1964,
135,9,Rip Hawkins,58.0,25.0,LB,14,14.0,235.0,6-3,North Carolina,4/21/1939,3,9.0,"Boston Patriots / 2nd / 12th pick / 1961, Minnesota Vikings / 2nd / 15th pick / 1961",1964,
136,10,Jim Prestel,79.0,27.0,DT,14,14.0,275.0,6-5,Idaho,6/28/1937,4,8.0,Cleveland Browns / 6th / 70th pick / 1959,1964,
137,11,Jim Marshall,70.0,27.0,DE,14,14.0,248.0,6-4,Ohio St.,12/30/1937,4,8.0,Cleveland Browns / 4th / 44th pick / 1960,1964,
138,12,Roy Winston,60.0,24.0,LB,14,14.0,222.0,5-11,LSU,9/15/1940,2,8.0,"San Diego Chargers / 6th / 42nd pick / 1962, Minnesota Vikings / 4th / 45th pick / 1962",1964,
139,13,Errol Linden,73.0,27.0,T,14,14.0,258.0,6-5,Houston,10/21/1937,3,7.0,"Detroit Lions / 10th / 135th pick / 1961, Houston Oilers / 29th / 232nd pick / 1961",1964,
140,14,Larry Bowie,61.0,25.0,G,14,14.0,245.0,6-2,Purdue,10/13/1939,2,7.0,"Dallas Texans / 8th / 59th pick / 1962, Minnesota Vikings / 6th / 73rd pick / 1962",1964,
141,15,Paul Dickson,76.0,27.0,DT,14,14.0,252.0,6-5,Baylor,2/26/1937,5,6.0,Los Angeles Rams / 1st / 9th pick / 1959,1964,
142,16,Larry Vargo,83.0,25.0,DB,14,8.0,215.0,6-3,Detroit Mercy,4/5/1939,2,6.0,"Detroit Lions / 11th / 150th pick / 1961, Buffalo Bills / 21st / 164th pick / 1961",1964,
143,17,Fred Cox,14.0,26.0,K,14,0.0,200.0,5-11,Pittsburgh,12/11/1938,1,6.0,"Cleveland Browns / 8th / 110th pick / 1961, New York Titans / 28th / 221st pick / 1961",1964,
144,18,Paul Flatley,85.0,23.0,WR,10,10.0,187.0,6-1,Northwestern,1/30/1941,1,5.0,"Minnesota Vikings / 4th / 44th pick / 1963, Denver Broncos / 7th / 53rd pick / 1963",1964,
145,19,Bill Jobko,57.0,29.0,LB,9,9.0,224.0,6-2,Ohio St.,10/7/1935,6,5.0,Los Angeles Rams / 7th / 80th pick / 1958,1964,
146,20,Bobby Walden,39.0,26.0,P,14,0.0,190.0,6-0,Georgia,3/9/1938,Rook,4.0,Houston Oilers / 4th / 31st pick / 1961,1964,
147,21,Palmer Pyle,69.0,27.0,G,10,9.0,247.0,6-3,Michigan St.,6/12/1937,4,4.0,Baltimore Colts / 6th / 72nd pick / 1959,1964,
148,22,Dave O'Brien,74.0,23.0,T,14,0.0,247.0,6-3,Boston Col.,6/13/1941,1,4.0,"Boston Patriots / 18th / 142nd pick / 1963, Minnesota Vikings / 13th / 171st pick / 1963",1964,
149,23,Hal Bedsole,86.0,23.0,TE,14,11.0,236.0,6-5,USC,12/21/1941,Rook,4.0,"Minnesota Vikings / 2nd / 19th pick / 1964, Kansas City Chiefs / 8th / 58th pick / 1964",1964,
150,24,Tom Hall,28.0,24.0,WR,14,7.0,195.0,6-1,Minnesota,4/3/1940,2,4.0,"Detroit Lions / 7th / 94th pick / 1962, Buffalo Bills / 22nd / 172nd pick / 1962",1964,
151,25,John Kirby,36.0,22.0,RLB,14,0.0,230.0,6-3,Nebraska,5/30/1942,Rook,4.0,"San Diego Chargers / 2nd / 16th pick / 1964, Minnesota Vikings / 5th / 62nd pick / 1964",1964,
152,26,Gordie Smith,87.0,25.0,TE,12,2.0,220.0,6-2,"Arizona St.,Missouri",4/9/1939,3,3.0,,1964,
153,27,Charley Britt,17.0,26.0,DB,5,5.0,180.0,6-2,Georgia,3/20/1938,4,3.0,Los Angeles Rams / 3rd / 25th pick / 1960,1964,
154,28,Bob Denton,62.0,30.0,DE,14,0.0,244.0,6-3,Pacific,7/24/1934,4,3.0,Cleveland Browns / 6th / 71st pick / 1959,1964,
155,29,Ken Byers,66.0,24.0,G,6,0.0,240.0,6-1,Cincinnati,4/6/1940,2,3.0,"New York Giants / 7th / 97th pick / 1962, Boston Patriots / 16th / 126th pick / 1962",1964,
156,30,Bill Swain,52.0,23.0,LLB,14,3.0,230.0,6-2,Oregon,2/22/1941,1,3.0,,1964,
