,index,Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Year,Salary
43,9,Corby Davis,32.0,24.0,BB,11,5.0,212.0,5-11,Indiana,12/18/1914,Rook,,Cleveland Rams / 1st / 1st pick / 1938,1938,
44,10,Johnny Drake,14.0,22.0,B,11,8.0,213.0,6-1,Purdue,3/27/1916,1,,Cleveland Rams / 1st / 10th pick / 1937,1938,
45,11,John Giannoni,19.0,24.0,E,3,0.0,210.0,6-1,St. Mary's (CA),8/27/1914,Rook,,,1938,
46,12,Ed Goddard,28.0,24.0,B,10,1.0,183.0,5-10,Washington St.,10/28/1914,1,,Brooklyn Dodgers / 1st / 2nd pick / 1937,1938,
47,13,Ray Hamilton,27.0,22.0,E,9,6.0,212.0,6-4,Arkansas,1/21/1916,Rook,,Cleveland Rams / 6th / 41st pick / 1938,1938,
48,14,Tom Hupke,22.0,28.0,G,10,7.0,192.0,5-10,Alabama,12/28/1910,4,,,1938,
49,15,Ray Johnson,12.0,24.0,DB,1,0.0,195.0,6-1,Denver,10/16/1914,1,,Cleveland Rams / 9th / 90th pick / 1937,1938,
50,16,Johnny Kovatch,16.0,26.0,E,6,0.0,172.0,5-11,Northwestern,6/6/1912,Rook,,Green Bay Packers / 7th / 57th pick / 1938,1938,
51,17,Bill Krause,37.0,24.0,G,2,1.0,210.0,6-0,Baldwin-Wallace,7/9/1914,Rook,,Pittsburgh Pirates / 11th / 94th pick / 1938,1938,
52,18,Art Lewis,23.0,27.0,T,9,3.0,226.0,6-3,Ohio,2/18/1911,2,,New York Giants / 1st / 9th pick / 1936,1938,
53,19,Carl Littlefield,34.0,22.0,B,9,1.0,200.0,6-0,Washington St.,8/6/1916,Rook,,,1938,
54,20,Ted Livingston,31.0,25.0,T,10,6.0,219.0,6-3,"Kansas St.,Indiana",2/18/1913,1,,,1938,
55,21,Vic Markov,12.0,23.0,T,10,4.0,215.0,6-0,Washington,12/28/1915,Rook,,Cleveland Rams / 4th / 26th pick / 1938,1938,
56,22,Jack May,24.0,24.0,C,9,1.0,210.0,5-10,Centenary,11/4/1914,Rook,,,1938,
57,23,Primo Miller,38.0,23.0,T,8,3.0,220.0,6-2,Rice,9/18/1915,1,,,1938,
58,24,Nels Peterson,11.0,25.0,B,7,2.0,179.0,5-8,West Virginia Wesleyan,9/22/1913,1,,,1938,
59,25,Stan Pincura,15.0,25.0,BB,11,1.0,175.0,5-11,Ohio St.,5/2/1913,1,,,1938,
60,26,Dale Prather,30.0,28.0,E,6,1.0,190.0,6-2,George Washington,9/19/1910,Rook,,,1938,
61,27,Phil Ragazzo,36.0,23.0,T,10,6.0,216.0,6-0,Case Western Reserve,6/24/1915,Rook,,Green Bay Packers / 8th / 67th pick / 1938,1938,
62,28,Charles Ream,39.0,25.0,T,10,3.0,225.0,6-2,Ohio St.,12/12/1913,Rook,,Cleveland Rams / 9th / 71st pick / 1938,1938,
63,29,Jack Robinson,19.0,27.0,T,6,1.0,220.0,6-2,Truman St.,6/18/1911,3,,,1938,
64,30,Bob Snyder,1.0,25.0,TB,10,6.0,200.0,6-0,Ohio,2/6/1913,1,,,1938,
65,31,Vic Spadaccini,33.0,22.0,B,10,3.0,222.0,6-0,Minnesota,3/2/1916,Rook,,Cleveland Rams / 12th / 101st pick / 1938,1938,
66,32,Johnny Stephens,25.0,24.0,E,11,6.0,190.0,6-1,Marshall,1/15/1914,Rook,,,1938,
67,33,Dick Tuckey,37.0,25.0,TB,4,0.0,205.0,6-2,Manhattan,9/29/1913,Rook,,,1938,
68,34,Dick Zoll,20.0,25.0,G,11,6.0,218.0,5-11,Indiana,12/10/1913,1,,,1938,
69,35,Team Total,,24.3,,11,,203.2,6-0.3,,,0.6,,,1938,
70,0,Chet Adams,34.0,24.0,T,9,5.0,233.0,6-3,Ohio,10/24/1915,Rook,,Cleveland Rams / 12th / 103rd pick / 1939,1939,
71,1,Alex Atty,18.0,23.0,G,3,0.0,216.0,5-8,West Virginia,12/8/1916,Rook,,Cleveland Rams / 18th / 163rd pick / 1939,1939,
72,2,Lou Barle,8.0,23.0,HB,3,0.0,205.0,6-1,Minnesota-Duluth,6/23/1916,1,,,1939,
73,3,Jim Benton,26.0,23.0,E,11,11.0,200.0,6-3,Arkansas,9/25/1916,1,,Cleveland Rams / 2nd / 11th pick / 1938,1939,
74,4,Lew Bostick,25.0,23.0,G,7,2.0,197.0,6-0,Alabama,10/3/1916,Rook,,Cleveland Rams / 9th / 73rd pick / 1939,1939,
75,5,Chuck Cherundolo,17.0,23.0,C,10,3.0,215.0,6-1,Penn St.,8/8/1916,2,,,1939,
76,6,Bill Conkright,37.0,25.0,C,11,8.0,203.0,6-1,Oklahoma,4/17/1914,2,,Chicago Bears / 5th / 48th pick / 1937,1939,
77,7,Corby Davis,3.0,25.0,BB,11,0.0,212.0,5-11,Indiana,12/18/1914,1,,Cleveland Rams / 1st / 1st pick / 1938,1939,
78,8,Jerry Dowd,9.0,23.0,C,9,0.0,210.0,6-0,St. Mary's (CA),11/29/1916,Rook,,Cleveland Rams / 7th / 53rd pick / 1939,1939,
79,9,Johnny Drake,14.0,23.0,B,11,11.0,213.0,6-1,Purdue,3/27/1916,2,,Cleveland Rams / 1st / 10th pick / 1937,1939,
80,10,Elwyn Dunstan,20.0,24.0,T,7,6.0,238.0,6-3,Portland,2/4/1915,1,,,1939,
81,11,Ben Friend,35.0,27.0,T,10,4.0,248.0,6-5,LSU,1/30/1912,Rook,,Cleveland Rams / 15th / 133rd pick / 1939,1939,
82,12,Parker Hall,32.0,23.0,TB,11,11.0,198.0,6-0,Mississippi,12/10/1916,Rook,,Cleveland Rams / 1st / 3rd pick / 1939,1939,
83,13,Joel Hitt,7.0,23.0,E,3,0.0,180.0,6-1,Mississippi Col.,12/30/1916,Rook,,Cleveland Rams / 13th / 113th pick / 1939,1939,
84,14,Tom Hupke,1.0,29.0,G,8,1.0,192.0,5-10,Alabama,12/28/1910,5,,,1939,
85,15,Bill Lazetich,24.0,23.0,WB,6,1.0,195.0,6-0,Montana,10/16/1916,Rook,,Detroit Lions / 16th / 147th pick / 1939,1939,
86,16,Art Lewis,11.0,28.0,T,7,5.0,226.0,6-3,Ohio,2/18/1911,3,,New York Giants / 1st / 9th pick / 1936,1939,
87,17,Ted Livingston,31.0,26.0,T,11,9.0,219.0,6-3,"Kansas St.,Indiana",2/18/1913,2,,,1939,
88,18,Riley Matheson,28.0,25.0,G,2,2.0,207.0,6-2,"Cameron,Texas-El Paso",12/12/1914,Rook,,,1939,
89,19,Paul McDonough,19.0,23.0,E,10,0.0,222.0,6-4,Utah,12/14/1916,1,,Pittsburgh Pirates / 9th / 74th pick / 1938,1939,
90,20,Barney McGarry,30.0,22.0,G,11,5.0,203.0,6-1,Utah,12/24/1917,Rook,,Cleveland Rams / 6th / 43rd pick / 1939,1939,
91,21,Bill McRaven,22.0,21.0,WB,9,4.0,170.0,5-11,Murray St.,2/23/1918,Rook,,,1939,
92,22,Kelly Moan,7.0,27.0,TB,2,0.0,193.0,6-0,"Washington St.,West Virginia",10/20/1912,Rook,,New York Giants / 7th / 58th pick / 1938,1939,
93,23,Ralph Niehaus,,23.0,T,6,2.0,220.0,6-4,Dayton,11/19/1916,Rook,,Detroit Lions / 17th / 157th pick / 1939,1939,
94,24,Maury Patt,2.0,24.0,E,10,0.0,205.0,6-2,Carnegie Mellon,1/31/1915,1,,Detroit Lions / 5th / 47th pick / 1937,1939,
95,25,Mike Perrie,15.0,24.0,QB,2,0.0,197.0,5-11,St. Mary's (CA),11/24/1915,Rook,,Cleveland Rams / 17th / 153rd pick / 1939,1939,
96,26,Phil Ragazzo,36.0,24.0,T,11,3.0,216.0,6-0,Case Western Reserve,6/24/1915,1,,Green Bay Packers / 8th / 67th pick / 1938,1939,
97,27,Mike Rodak,23.0,22.0,BB,6,0.0,194.0,5-10,Case Western Reserve,2/11/1917,Rook,,,1939,
98,28,Doug Russell,4.0,28.0,TB,7,2.0,187.0,6-0,"Muskingum,Kansas St.",6/11/1911,5,,,1939,
99,29,Nate Schenker,38.0,21.0,T,4,0.0,220.0,6-2,Samford,1/27/1918,Rook,,,1939,
100,30,Marty Slovak,5.0,23.0,TB,10,0.0,179.0,5-9,Toledo,12/25/1916,Rook,,,1939,
101,31,Branko Smilanich,21.0,24.0,HB,2,0.0,180.0,5-11,Arizona,10/17/1915,Rook,,,1939,
102,32,Gaylon Smith,10.0,23.0,FB,11,4.0,202.0,5-11,Rhodes,7/15/1916,Rook,,Cleveland Rams / 2nd / 13th pick / 1939,1939,
103,33,Vic Spadaccini,33.0,23.0,B,11,11.0,222.0,6-0,Minnesota,3/2/1916,1,,Cleveland Rams / 12th / 101st pick / 1938,1939,
104,34,Johnny Wilson,12.0,24.0,E,11,11.0,203.0,6-3,Case Western Reserve,11/2/1915,Rook,,,1939,
105,35,Team Total,,24.0,,11,,206.3,6-0.8,,,0.8,,,1939,
106,0,Chet Adams,34.0,25.0,T,11,11.0,233.0,6-3,Ohio,10/24/1915,1,,Cleveland Rams / 12th / 103rd pick / 1939,1940,
107,1,Stan Andersen,39.0,23.0,T,11,5.0,218.0,6-2,Stanford,9/14/1917,Rook,,Chicago Cardinals / 12th / 101st pick / 1940,1940,
108,2,Jim Benton,26.0,24.0,E,10,5.0,200.0,6-3,Arkansas,9/25/1916,2,,Cleveland Rams / 2nd / 11th pick / 1938,1940,
109,3,Connie Mack Berry,6.0,25.0,E,3,0.0,215.0,6-3,North Carolina St.,4/19/1915,1,,,1940,
110,4,Boyd Clay,21.0,25.0,T,11,5.0,220.0,6-1,Tennessee,5/6/1915,Rook,,Cleveland Rams / 11th / 95th pick / 1940,1940,
111,5,Bill Conkright,37.0,26.0,C,2,2.0,203.0,6-1,Oklahoma,4/17/1914,3,,Chicago Bears / 5th / 48th pick / 1937,1940,
112,6,Olie Cordill,1.0,24.0,WB,10,7.0,190.0,6-2,Rice,4/28/1916,Rook,,Cleveland Rams / 1st / 5th pick / 1940,1940,
113,7,Earl Crowder,40.0,25.0,BB,3,0.0,198.0,6-0,Oklahoma,1/21/1915,1,,Chicago Cardinals / 10th / 82nd pick / 1939,1940,
114,8,Johnny Drake,14.0,24.0,B,11,8.0,213.0,6-1,Purdue,3/27/1916,3,,Cleveland Rams / 1st / 10th pick / 1937,1940,
115,9,Elwyn Dunstan,20.0,25.0,T,10,6.0,238.0,6-3,Portland,2/4/1915,2,,,1940,
116,10,Fred Gehrke,18.0,22.0,HB,3,0.0,189.0,5-11,Utah,4/24/1918,Rook,,,1940,
117,11,Jim Gillette,9.0,23.0,HB,4,0.0,185.0,6-1,Virginia,12/19/1917,Rook,,Green Bay Packers / 18th / 169th pick / 1940,1940,
118,12,Shag Goolsby,24.0,23.0,C,8,0.0,198.0,6-2,Mississippi St.,7/24/1917,Rook,,Cleveland Rams / 12th / 105th pick / 1940,1940,
119,13,Pete Gudauskas,3.0,24.0,G,1,0.0,222.0,6-2,Murray St.,10/19/1916,Rook,,,1940,
120,14,Parker Hall,32.0,24.0,TB,11,7.0,198.0,6-0,Mississippi,12/10/1916,1,,Cleveland Rams / 1st / 3rd pick / 1939,1940,
121,15,Jack Haman,15.0,22.0,C,11,9.0,215.0,6-2,Northwestern,8/18/1918,Rook,,Cleveland Rams / 3rd / 20th pick / 1940,1940,
122,16,Ken Heineman,7.0,22.0,TB,3,0.0,168.0,5-9,Texas-El Paso,1/13/1918,Rook,,Cleveland Rams / 6th / 45th pick / 1940,1940,
123,17,Len Janiak,38.0,25.0,B,11,3.0,203.0,6-1,Ohio,10/29/1915,1,,Brooklyn Dodgers / 6th / 45th pick / 1939,1940,
124,18,Michael Kinek,9.0,23.0,E,2,0.0,200.0,6-1,Michigan St.,8/11/1917,Rook,,,1940,
125,19,Ted Livingston,31.0,27.0,T,9,9.0,219.0,6-3,"Kansas St.,Indiana",2/18/1913,3,,,1940,
126,20,Dante Magnani,8.0,23.0,HB,11,4.0,182.0,5-10,St. Mary's (CA),3/16/1917,Rook,,Cleveland Rams / 19th / 175th pick / 1940,1940,
127,21,Riley Matheson,11.0,26.0,G,11,0.0,207.0,6-2,"Cameron,Texas-El Paso",12/12/1914,1,,,1940,
128,22,Paul McDonough,19.0,24.0,E,11,7.0,222.0,6-4,Utah,12/14/1916,2,,Pittsburgh Pirates / 9th / 74th pick / 1938,1940,
129,23,Barney McGarry,30.0,23.0,G,11,11.0,203.0,6-1,Utah,12/24/1917,1,,Cleveland Rams / 6th / 43rd pick / 1939,1940,
130,24,Harvey Murphy,28.0,25.0,E,2,0.0,194.0,5-10,Mississippi,8/24/1915,Rook,,,1940,
131,25,Jack Nix,6.0,23.0,WB,1,0.0,175.0,6-0,Mississippi St.,11/8/1917,Rook,,Cleveland Rams / 17th / 155th pick / 1940,1940,
132,26,Glenn Olson,25.0,24.0,BB,2,0.0,195.0,6-0,Iowa,3/31/1916,Rook,,,1940,
133,27,Maury Patt,2.0,25.0,E,10,1.0,205.0,6-2,Carnegie Mellon,1/31/1915,2,,Detroit Lions / 5th / 47th pick / 1937,1940,
134,28,Phil Ragazzo,36.0,25.0,T,1,0.0,216.0,6-0,Case Western Reserve,6/24/1915,2,,Green Bay Packers / 8th / 67th pick / 1938,1940,
135,29,Hank Rockwell,17.0,23.0,G,11,2.0,231.0,6-4,Arizona St.,2/10/1917,Rook,,,1940,
136,30,Mike Rodak,23.0,23.0,BB,1,0.0,194.0,5-10,Case Western Reserve,2/11/1917,1,,,1940,
137,31,Fred Shirey,36.0,24.0,T,6,0.0,223.0,6-2,"Washington & Jefferson,Nebraska",1/12/1916,Rook,,Philadelphia Eagles / 5th / 32nd pick / 1938,1940,
138,32,Marty Slovak,5.0,24.0,TB,9,4.0,179.0,5-9,Toledo,12/25/1916,1,,,1940,
139,33,Gaylon Smith,10.0,24.0,FB,11,8.0,202.0,5-11,Rhodes,7/15/1916,1,,Cleveland Rams / 2nd / 13th pick / 1939,1940,
140,34,Vic Spadaccini,33.0,24.0,B,9,3.0,222.0,6-0,Minnesota,3/2/1916,2,,Cleveland Rams / 12th / 101st pick / 1938,1940,
141,35,Ralph Stevenson,4.0,23.0,G,3,0.0,196.0,5-10,Oklahoma,4/11/1917,Rook,,Cleveland Rams / 18th / 165th pick / 1940,1940,
142,36,Johnny Wilson,12.0,25.0,E,10,4.0,203.0,6-3,Case Western Reserve,11/2/1915,1,,,1940,
143,37,Team Total,,24.0,,11,,204.7,6-0.9,,,0.9,,,1940,
144,0,Chet Adams,34.0,26.0,T,11,11.0,233.0,6-3,Ohio,10/24/1915,2,,Cleveland Rams / 12th / 103rd pick / 1939,1941,
145,1,Stan Andersen,39.0,24.0,T,5,3.0,218.0,6-2,Stanford,9/14/1917,1,,Chicago Cardinals / 12th / 101st pick / 1940,1941,
146,2,Graham Armstrong,18.0,23.0,T,7,0.0,230.0,6-4,John Carroll,5/30/1918,Rook,,,1941,
147,3,Boyd Clay,21.0,26.0,T,11,0.0,220.0,6-1,Tennessee,5/6/1915,1,,Cleveland Rams / 11th / 95th pick / 1940,1941,
148,4,Bill Conkright,37.0,27.0,C,11,7.0,203.0,6-1,Oklahoma,4/17/1914,4,,Chicago Bears / 5th / 48th pick / 1937,1941,
149,5,Corby Davis,3.0,27.0,BB,8,5.0,212.0,5-11,Indiana,12/18/1914,3,,Cleveland Rams / 1st / 1st pick / 1938,1941,
150,6,Johnny Drake,14.0,25.0,B,11,8.0,213.0,6-1,Purdue,3/27/1916,4,,Cleveland Rams / 1st / 10th pick / 1937,1941,
151,7,Elwyn Dunstan,20.0,26.0,T,11,11.0,238.0,6-3,Portland,2/4/1915,3,,,1941,
152,8,Tony Gallovich,1.0,24.0,WB,3,0.0,170.0,5-9,Wake Forest,9/10/1917,Rook,,Cleveland Rams / 8th / 64th pick / 1941,1941,
153,9,Owen Goodnight,16.0,24.0,HB,9,1.0,200.0,6-0,Hardin-Simmons,8/27/1917,Rook,,Cleveland Rams / 15th / 135th pick / 1940,1941,
154,10,Jack Gregory,23.0,26.0,G,7,0.0,215.0,6-2,"Alabama,Chattanooga",2/14/1915,Rook,,Cleveland Rams / 13th / 115th pick / 1940,1941,
155,11,Parker Hall,32.0,25.0,TB,10,8.0,198.0,6-0,Mississippi,12/10/1916,2,,Cleveland Rams / 1st / 3rd pick / 1939,1941,
156,12,Jack Haman,15.0,23.0,C,10,3.0,215.0,6-2,Northwestern,8/18/1918,1,,Cleveland Rams / 3rd / 20th pick / 1940,1941,
157,13,Chuck Hanneman,31.0,27.0,E,1,0.0,220.0,6-0,East. Michigan,9/26/1914,4,,,1941,
158,14,Kirk Hershey,22.0,23.0,E,2,0.0,215.0,6-2,"Carroll (WI),Cornell",7/7/1918,Rook,,Cleveland Rams / 17th / 154th pick / 1941,1941,
159,15,Red Hickey,28.0,24.0,E,9,3.0,204.0,6-2,Arkansas,2/14/1917,Rook,,Philadelphia Eagles / 6th / 41st pick / 1941,1941,
160,16,Len Janiak,38.0,26.0,B,10,4.0,203.0,6-1,Ohio,10/29/1915,2,,Brooklyn Dodgers / 6th / 45th pick / 1939,1941,
161,17,Michael Kostiuk,28.0,22.0,T,1,0.0,212.0,6-0,Detroit Tech,8/1/1919,Rook,,,1941,
162,18,Del Lyman,1.0,23.0,T,4,0.0,223.0,6-3,UCLA,7/9/1918,Rook,,Green Bay Packers / 14th / 126th pick / 1941,1941,
163,19,Dante Magnani,24.0,24.0,HB,9,8.0,182.0,5-10,St. Mary's (CA),3/16/1917,1,,Cleveland Rams / 19th / 175th pick / 1940,1941,
164,20,Frank Maher,9.0,23.0,B,2,0.0,195.0,6-1,Toledo,5/8/1918,Rook,,Philadelphia Eagles / 10th / 83rd pick / 1940,1941,
165,21,Riley Matheson,11.0,27.0,G,9,6.0,207.0,6-2,"Cameron,Texas-El Paso",12/12/1914,2,,,1941,
166,22,Paul McDonough,19.0,25.0,E,11,8.0,222.0,6-4,Utah,12/14/1916,3,,Pittsburgh Pirates / 9th / 74th pick / 1938,1941,
167,23,Barney McGarry,30.0,24.0,G,11,11.0,203.0,6-1,Utah,12/24/1917,2,,Cleveland Rams / 6th / 43rd pick / 1939,1941,
168,24,George Morris,4.0,22.0,HB,10,3.0,189.0,5-11,Baldwin-Wallace,2/24/1919,Rook,,,1941,
169,25,Rudy Mucha,27.0,23.0,G,10,3.0,236.0,6-1,Washington,7/22/1918,Rook,,Cleveland Rams / 1st / 4th pick / 1941,1941,
170,26,Maury Patt,2.0,26.0,E,11,5.0,205.0,6-2,Carnegie Mellon,1/31/1915,3,,Detroit Lions / 5th / 47th pick / 1937,1941,
171,27,Ray Prochaska,8.0,22.0,E,8,0.0,200.0,6-3,Nebraska,8/9/1919,Rook,,Cleveland Rams / 7th / 54th pick / 1941,1941,
172,28,Bill Rieth,6.0,25.0,G,6,1.0,203.0,5-11,Carnegie Mellon,6/20/1916,Rook,,,1941,
173,29,Hank Rockwell,17.0,24.0,G,10,3.0,231.0,6-4,Arizona St.,2/10/1917,1,,,1941,
174,30,Charlie Seabright,25.0,23.0,BB,7,2.0,204.0,6-2,West Virginia,2/13/1918,Rook,,,1941,
175,31,Fred Shirey,36.0,25.0,T,3,0.0,223.0,6-2,"Washington & Jefferson,Nebraska",1/12/1916,1,,Philadelphia Eagles / 5th / 32nd pick / 1938,1941,
176,32,Milt Simington,33.0,23.0,G,7,0.0,217.0,6-2,Arkansas,8/26/1918,Rook,,Cleveland Rams / 9th / 74th pick / 1941,1941,
177,33,Marty Slovak,5.0,25.0,TB,8,2.0,179.0,5-9,Toledo,12/25/1916,2,,,1941,
178,34,Gaylon Smith,10.0,25.0,FB,4,0.0,202.0,5-11,Rhodes,7/15/1916,2,,Cleveland Rams / 2nd / 13th pick / 1939,1941,
179,35,Wilfred Thorpe,26.0,24.0,G,5,2.0,205.0,6-3,Arkansas,1/8/1917,Rook,,Cleveland Rams / 9th / 75th pick / 1940,1941,
180,36,Gordon Wilson,31.0,26.0,G,1,0.0,228.0,6-0,Texas-El Paso,11/23/1915,Rook,,Cleveland Rams / 16th / 144th pick / 1941,1941,
181,37,Johnny Wilson,12.0,26.0,E,11,3.0,203.0,6-3,Case Western Reserve,11/2/1915,2,,,1941,
182,38,Team Total,,24.6,,11,,209.9,6-1.2,,,1.2,,,1941,
183,0,Chet Adams,34.0,27.0,T,11,11.0,233.0,6-3,Ohio,10/24/1915,3,,Cleveland Rams / 12th / 103rd pick / 1939,1942,
184,1,Jim Benton,30.0,26.0,E,9,7.0,200.0,6-3,Arkansas,9/25/1916,4,,Cleveland Rams / 2nd / 11th pick / 1938,1942,
185,2,Jack Boone,56.0,24.0,B,2,0.0,175.0,5-11,Elon,5/28/1918,Rook,,,1942,
186,3,Lew Bostick,25.0,26.0,G,1,0.0,197.0,6-0,Alabama,10/3/1916,3,,Cleveland Rams / 9th / 73rd pick / 1939,1942,
187,4,Larry Brahm,59.0,26.0,G,10,0.0,204.0,5-10,Temple,8/12/1916,Rook,,,1942,
188,5,Boyd Clay,43.0,27.0,T,8,0.0,220.0,6-1,Tennessee,5/6/1915,2,,Cleveland Rams / 11th / 95th pick / 1940,1942,
189,6,Bill Conkright,47.0,28.0,C,11,8.0,203.0,6-1,Oklahoma,4/17/1914,5,,Chicago Bears / 5th / 48th pick / 1937,1942,
190,7,Corby Davis,3.0,28.0,BB,9,2.0,212.0,5-11,Indiana,12/18/1914,4,,Cleveland Rams / 1st / 1st pick / 1938,1942,
191,8,Dutch Elston,55.0,24.0,C,11,8.0,190.0,5-11,South Carolina,11/19/1918,Rook,,,1942,
192,9,Jake Fawcett,57.0,23.0,T,10,0.0,223.0,5-11,SMU,5/29/1919,Rook,,,1942,
193,10,Joe Gibson,63.0,23.0,C,11,8.0,213.0,6-3,"Cameron,Tulsa",6/28/1919,Rook,,,1942,
194,11,Herb Godfrey,46.0,23.0,E,3,0.0,187.0,6-1,Washington St.,8/23/1919,Rook,,,1942,
195,12,Parker Hall,32.0,26.0,TB,10,8.0,198.0,6-0,Mississippi,12/10/1916,3,,Cleveland Rams / 1st / 3rd pick / 1939,1942,
