,Week,Day,Date,Time,Outcome,OT,Rec,Home,Opp,Score_Tm,Score_Opp,Offense_1stD,Offense_TotYd,Offense_PassY,Offense_RushY,Offense_TO,Defense_1stD,Defense_TotYd,Defense_PassY,Defense_RushY,Defense_TO,Year,Expected Points_Offense,Expected Points_Defense,Expected Points_Sp. Tms
27,14,Sun,December 18,1:00PM ET,W,False,2-12,True,St. Louis Cardinals,17.0,7.0,11.0,279.0,171.0,108.0,1.0,17.0,296.0,162.0,134.0,4.0,1977,,,
28,1,Sat,September 2,8:00PM ET,L,False,0-1,True,New York Giants,13.0,19.0,16.0,251.0,86.0,165.0,4.0,12.0,238.0,162.0,76.0,1.0,1978,,,
29,2,Sat,September 9,8:00PM ET,L,False,0-2,True,Detroit Lions,7.0,15.0,10.0,109.0,-31.0,140.0,6.0,11.0,196.0,47.0,149.0,2.0,1978,,,
30,3,Sun,September 17,2:00PM ET,W,False,1-2,False,Minnesota Vikings,16.0,10.0,10.0,155.0,63.0,92.0,1.0,15.0,219.0,146.0,73.0,5.0,1978,,,
31,4,Sun,September 24,4:00PM ET,W,False,2-2,True,Atlanta Falcons,14.0,9.0,10.0,176.0,82.0,94.0,1.0,13.0,217.0,69.0,148.0,3.0,1978,,,
32,5,Sun,October 1,1:00PM ET,L,False,2-3,True,Minnesota Vikings,7.0,24.0,18.0,370.0,283.0,87.0,3.0,19.0,319.0,208.0,111.0,1.0,1978,,,
33,6,Sun,October 8,2:00PM ET,W,False,3-3,False,Kansas City Chiefs,30.0,13.0,21.0,347.0,226.0,121.0,1.0,15.0,256.0,136.0,120.0,2.0,1978,,,
34,7,Sun,October 15,1:00PM ET,L,False,3-4,False,New York Giants,14.0,17.0,20.0,263.0,100.0,163.0,4.0,16.0,218.0,48.0,170.0,2.0,1978,,,
35,8,Sun,October 22,1:00PM ET,W,False,4-4,True,Chicago Bears,33.0,19.0,21.0,319.0,173.0,146.0,1.0,15.0,323.0,203.0,120.0,3.0,1978,,,
36,9,Sun,October 29,2:00PM ET,L,False,4-5,False,Green Bay Packers,7.0,9.0,7.0,170.0,98.0,72.0,3.0,18.0,249.0,158.0,91.0,4.0,1978,,,
37,10,Sun,November 5,4:00PM ET,L,False,4-6,False,Los Angeles Rams,23.0,26.0,18.0,341.0,132.0,209.0,5.0,15.0,344.0,220.0,124.0,1.0,1978,,,
38,11,Sun,November 12,2:00PM ET,L,False,4-7,False,Detroit Lions,23.0,34.0,18.0,202.0,89.0,113.0,,20.0,404.0,193.0,211.0,3.0,1978,,,
39,12,Sun,November 19,1:00PM ET,W,False,5-7,True,Buffalo Bills,31.0,10.0,20.0,312.0,107.0,205.0,2.0,18.0,211.0,132.0,79.0,5.0,1978,,,
40,13,Sun,November 26,2:00PM ET,L,False,5-8,False,Chicago Bears,3.0,14.0,6.0,92.0,-7.0,99.0,1.0,17.0,301.0,50.0,251.0,1.0,1978,,,
41,14,Sun,December 3,1:00PM ET,L,False,5-9,True,Green Bay Packers,7.0,17.0,20.0,321.0,144.0,177.0,3.0,11.0,173.0,108.0,65.0,1.0,1978,,,
42,15,Sun,December 10,4:00PM ET,L,False,5-10,False,San Francisco 49ers,3.0,6.0,13.0,196.0,83.0,113.0,3.0,17.0,239.0,149.0,90.0,6.0,1978,,,
43,16,Sun,December 17,1:00PM ET,L,False,5-11,True,New Orleans Saints,10.0,17.0,10.0,177.0,75.0,102.0,,24.0,421.0,250.0,171.0,3.0,1978,,,
44,1,Sat,September 1,8:00PM ET,W,False,1-0,True,Detroit Lions,31.0,16.0,18.0,334.0,105.0,229.0,1.0,16.0,231.0,89.0,142.0,3.0,1979,,,
45,2,Sun,September 9,2:00PM ET,W,True,2-0,False,Baltimore Colts,29.0,26.0,17.0,294.0,196.0,98.0,5.0,18.0,206.0,114.0,92.0,4.0,1979,,,
46,3,Sun,September 16,2:00PM ET,W,False,3-0,False,Green Bay Packers,21.0,10.0,19.0,367.0,132.0,235.0,1.0,18.0,274.0,185.0,89.0,3.0,1979,,,
47,4,Sun,September 23,4:00PM ET,W,False,4-0,True,Los Angeles Rams,21.0,6.0,15.0,249.0,101.0,148.0,3.0,11.0,186.0,76.0,110.0,4.0,1979,,,
48,5,Sun,September 30,2:00PM ET,W,False,5-0,False,Chicago Bears,17.0,13.0,18.0,373.0,159.0,214.0,3.0,11.0,234.0,152.0,82.0,3.0,1979,,,
49,6,Sun,October 7,1:00PM ET,L,False,5-1,False,New York Giants,14.0,17.0,15.0,273.0,182.0,91.0,3.0,15.0,220.0,18.0,202.0,1.0,1979,,,
50,7,Sun,October 14,1:00PM ET,L,False,5-2,True,New Orleans Saints,14.0,42.0,16.0,374.0,213.0,161.0,4.0,22.0,397.0,163.0,234.0,1.0,1979,,,
51,8,Sun,October 21,1:00PM ET,W,False,6-2,True,Green Bay Packers,21.0,3.0,15.0,313.0,85.0,228.0,1.0,16.0,299.0,261.0,38.0,4.0,1979,,,
52,9,Sun,October 28,2:00PM ET,W,False,7-2,False,Minnesota Vikings,12.0,10.0,20.0,360.0,258.0,102.0,1.0,21.0,330.0,219.0,111.0,1.0,1979,,,
53,10,Sun,November 4,1:00PM ET,L,False,7-3,False,Atlanta Falcons,14.0,17.0,13.0,268.0,194.0,74.0,3.0,18.0,266.0,54.0,212.0,1.0,1979,,,
54,11,Sun,November 11,1:00PM ET,W,False,8-3,False,Detroit Lions,16.0,14.0,17.0,286.0,182.0,104.0,1.0,16.0,267.0,229.0,38.0,3.0,1979,,,
55,12,Sun,November 18,4:00PM ET,W,False,9-3,True,New York Giants,31.0,3.0,20.0,363.0,176.0,187.0,,14.0,200.0,105.0,95.0,4.0,1979,,,
56,13,Sun,November 25,1:00PM ET,L,False,9-4,True,Minnesota Vikings,22.0,23.0,22.0,425.0,242.0,183.0,1.0,16.0,268.0,158.0,110.0,2.0,1979,,,
57,14,Sun,December 2,1:00PM ET,L,False,9-5,True,Chicago Bears,0.0,14.0,13.0,238.0,131.0,107.0,5.0,10.0,164.0,17.0,147.0,1.0,1979,,,
58,15,Sun,December 9,4:00PM ET,L,False,9-6,False,San Francisco 49ers,7.0,23.0,13.0,263.0,211.0,52.0,6.0,21.0,327.0,214.0,113.0,1.0,1979,,,
59,16,Sun,December 16,1:00PM ET,W,False,10-6,True,Kansas City Chiefs,3.0,0.0,16.0,269.0,45.0,224.0,3.0,4.0,80.0,22.0,58.0,2.0,1979,,,
60,,,Playoffs,,,False,,True,,,,,,,,,,,,,,1979,,,
61,Division,Sat,December 29,12:30PM ET,W,False,11-6,True,Philadelphia Eagles,24.0,17.0,17.0,318.0,132.0,186.0,1.0,15.0,227.0,179.0,48.0,1.0,1979,,,
62,Conf. Champ.,Sun,January 6,5:00PM ET,L,False,11-7,True,Los Angeles Rams,0.0,9.0,7.0,177.0,85.0,92.0,1.0,23.0,369.0,153.0,216.0,1.0,1979,,,
63,1,Sun,September 7,1:00PM ET,W,False,1-0,False,Cincinnati Bengals,17.0,12.0,13.0,246.0,155.0,91.0,2.0,9.0,128.0,16.0,112.0,2.0,1980,,,
64,2,Thu,September 11,9:00PM ET,W,False,2-0,True,Los Angeles Rams,10.0,9.0,12.0,183.0,83.0,100.0,1.0,16.0,360.0,191.0,169.0,4.0,1980,,,
65,3,Sun,September 21,4:00PM ET,L,False,2-1,False,Dallas Cowboys,17.0,28.0,22.0,442.0,238.0,204.0,2.0,26.0,390.0,244.0,146.0,1.0,1980,,,
66,4,Sun,September 28,1:00PM ET,L,False,2-2,True,Cleveland Browns,27.0,34.0,24.0,417.0,337.0,80.0,2.0,22.0,400.0,308.0,92.0,2.0,1980,,,
67,5,Mon,October 6,9:00PM ET,L,False,2-3,False,Chicago Bears,0.0,23.0,13.0,147.0,68.0,79.0,3.0,18.0,273.0,100.0,173.0,1.0,1980,,,
68,6,Sun,October 12,1:00PM ET,T,True,2-3-1,True,Green Bay Packers,14.0,14.0,15.0,262.0,82.0,180.0,,32.0,569.0,415.0,154.0,2.0,1980,,,
69,7,Sun,October 19,4:00PM ET,L,False,2-4-1,False,Houston Oilers,14.0,20.0,12.0,193.0,126.0,67.0,4.0,23.0,467.0,222.0,245.0,4.0,1980,,,
70,8,Sun,October 26,4:00PM ET,W,False,3-4-1,False,San Francisco 49ers,24.0,23.0,17.0,263.0,89.0,174.0,1.0,15.0,305.0,206.0,99.0,1.0,1980,,,
71,9,Sun,November 2,1:00PM ET,W,False,4-4-1,True,New York Giants,30.0,13.0,23.0,379.0,135.0,244.0,2.0,16.0,220.0,147.0,73.0,4.0,1980,,,
72,10,Sun,November 9,1:00PM ET,L,False,4-5-1,True,Pittsburgh Steelers,21.0,24.0,23.0,369.0,294.0,75.0,3.0,14.0,229.0,94.0,135.0,1.0,1980,,,
73,11,Sun,November 16,2:00PM ET,L,False,4-6-1,False,Minnesota Vikings,30.0,38.0,27.0,573.0,486.0,87.0,3.0,26.0,450.0,326.0,124.0,,1980,,,
74,12,Sun,November 23,1:00PM ET,L,False,4-7-1,True,Detroit Lions,10.0,24.0,15.0,200.0,155.0,45.0,4.0,19.0,262.0,133.0,129.0,1.0,1980,,,
75,13,Sun,November 30,2:00PM ET,W,False,5-7-1,False,Green Bay Packers,20.0,17.0,19.0,373.0,235.0,138.0,1.0,18.0,257.0,183.0,74.0,1.0,1980,,,
76,14,Sun,December 7,1:00PM ET,L,False,5-8-1,True,Minnesota Vikings,10.0,21.0,19.0,348.0,220.0,128.0,2.0,19.0,365.0,247.0,118.0,,1980,,,
77,15,Sun,December 14,4:00PM ET,L,False,5-9-1,False,Detroit Lions,14.0,27.0,11.0,213.0,173.0,40.0,3.0,19.0,408.0,332.0,76.0,2.0,1980,,,
78,16,Sat,December 20,4:00PM ET,L,False,5-10-1,True,Chicago Bears,13.0,14.0,16.0,451.0,344.0,107.0,5.0,21.0,322.0,140.0,182.0,2.0,1980,,,
79,1,Sat,September 5,8:00PM ET,W,False,1-0,True,Minnesota Vikings,21.0,13.0,10.0,219.0,108.0,111.0,,27.0,443.0,343.0,100.0,4.0,1981,,,
80,2,Sun,September 13,1:00PM ET,L,False,1-1,False,Kansas City Chiefs,10.0,19.0,17.0,298.0,286.0,12.0,,13.0,256.0,99.0,157.0,,1981,,,
81,3,Sun,September 20,2:00PM ET,L,False,1-2,False,Chicago Bears,17.0,28.0,22.0,450.0,309.0,141.0,3.0,15.0,247.0,126.0,121.0,1.0,1981,,,
82,4,Sun,September 27,4:00PM ET,W,False,2-2,True,St. Louis Cardinals,20.0,10.0,18.0,321.0,154.0,167.0,1.0,18.0,255.0,79.0,176.0,2.0,1981,,,
83,5,Sun,October 4,4:00PM ET,W,False,3-2,True,Detroit Lions,28.0,10.0,14.0,211.0,162.0,49.0,1.0,18.0,332.0,239.0,93.0,6.0,1981,,,
84,6,Sun,October 11,2:00PM ET,W,False,4-2,False,Green Bay Packers,21.0,10.0,22.0,371.0,199.0,172.0,2.0,19.0,298.0,203.0,95.0,4.0,1981,,,
85,7,Sun,October 18,4:00PM ET,L,False,4-3,False,Oakland Raiders,16.0,18.0,11.0,356.0,327.0,29.0,3.0,22.0,370.0,176.0,194.0,3.0,1981,,,
86,8,Sun,October 25,1:00PM ET,L,False,4-4,False,Philadelphia Eagles,10.0,20.0,24.0,347.0,238.0,109.0,4.0,17.0,298.0,109.0,189.0,3.0,1981,,,
87,9,Sun,November 1,1:00PM ET,W,False,5-4,True,Chicago Bears,20.0,10.0,15.0,392.0,183.0,209.0,1.0,18.0,325.0,233.0,92.0,3.0,1981,,,
88,10,Sun,November 8,1:00PM ET,L,False,5-5,False,Minnesota Vikings,10.0,25.0,10.0,193.0,150.0,43.0,2.0,26.0,426.0,221.0,205.0,4.0,1981,,,
89,11,Sun,November 15,1:00PM ET,L,False,5-6,True,Denver Broncos,7.0,24.0,10.0,209.0,168.0,41.0,2.0,22.0,281.0,128.0,153.0,1.0,1981,,,
90,12,Sun,November 22,1:00PM ET,W,False,6-6,True,Green Bay Packers,37.0,3.0,23.0,348.0,138.0,210.0,3.0,14.0,282.0,212.0,70.0,4.0,1981,,,
91,13,Sun,November 29,2:00PM ET,W,False,7-6,False,New Orleans Saints,31.0,14.0,22.0,345.0,218.0,127.0,2.0,20.0,341.0,204.0,137.0,3.0,1981,,,
92,14,Sun,December 6,4:00PM ET,W,False,8-6,True,Atlanta Falcons,24.0,23.0,22.0,420.0,327.0,93.0,1.0,23.0,373.0,236.0,137.0,1.0,1981,,,
93,15,Sun,December 13,1:00PM ET,L,False,8-7,True,San Diego Chargers,23.0,24.0,18.0,404.0,290.0,114.0,3.0,27.0,445.0,351.0,94.0,4.0,1981,,,
94,16,Sun,December 20,1:00PM ET,W,False,9-7,False,Detroit Lions,20.0,17.0,11.0,276.0,172.0,104.0,,21.0,340.0,181.0,159.0,3.0,1981,,,
95,,,Playoffs,,,False,,True,,,,,,,,,,,,,,1981,,,
96,Division,Sat,January 2,1:00PM ET,L,False,9-8,False,Dallas Cowboys,0.0,38.0,12.0,222.0,148.0,74.0,4.0,26.0,345.0,133.0,212.0,,1981,,,
97,1,Sun,September 12,1:00PM ET,L,False,0-1,False,Minnesota Vikings,10.0,17.0,16.0,355.0,290.0,65.0,4.0,16.0,216.0,115.0,101.0,1.0,1982,,,
98,2,Sun,September 19,4:00PM ET,L,False,0-2,True,Washington Redskins,13.0,21.0,14.0,278.0,177.0,101.0,4.0,18.0,248.0,71.0,177.0,,1982,,,
99,11,Sun,November 21,1:00PM ET,L,False,0-3,False,Dallas Cowboys,9.0,14.0,21.0,382.0,247.0,135.0,1.0,13.0,185.0,107.0,78.0,1.0,1982,,,
100,12,Mon,November 29,9:00PM ET,W,False,1-3,True,Miami Dolphins,23.0,17.0,15.0,215.0,61.0,154.0,,18.0,330.0,227.0,103.0,6.0,1982,,,
101,13,Sun,December 5,1:00PM ET,W,False,2-3,False,New Orleans Saints,13.0,10.0,14.0,271.0,178.0,93.0,,25.0,380.0,311.0,69.0,3.0,1982,,,
102,14,Sun,December 12,1:00PM ET,L,False,2-4,False,New York Jets,17.0,32.0,15.0,251.0,204.0,47.0,5.0,22.0,307.0,169.0,138.0,2.0,1982,,,
103,15,Sun,December 19,4:00PM ET,W,False,3-4,True,Buffalo Bills,24.0,23.0,22.0,342.0,204.0,138.0,4.0,21.0,318.0,152.0,166.0,5.0,1982,,,
104,16,Sun,December 26,1:00PM ET,W,False,4-4,True,Detroit Lions,23.0,21.0,24.0,377.0,257.0,120.0,2.0,13.0,210.0,97.0,113.0,2.0,1982,,,
105,17,Sun,January 2,1:00PM ET,W,True,5-4,True,Chicago Bears,26.0,23.0,22.0,424.0,325.0,99.0,3.0,14.0,248.0,135.0,113.0,1.0,1982,,,
106,,,Playoffs,,,False,,True,,,,,,,,,,,,,,1982,,,
107,Wild Card,Sun,January 9,4:00PM ET,L,False,5-5,False,Dallas Cowboys,17.0,30.0,8.0,218.0,113.0,105.0,3.0,29.0,456.0,277.0,179.0,3.0,1982,,,
108,1,Sun,September 4,1:00PM ET,L,False,0-1,True,Detroit Lions,0.0,11.0,16.0,231.0,171.0,60.0,3.0,16.0,313.0,236.0,77.0,2.0,1983,,,
109,2,Sun,September 11,1:00PM ET,L,False,0-2,False,Chicago Bears,10.0,17.0,17.0,347.0,262.0,85.0,2.0,14.0,358.0,263.0,95.0,3.0,1983,,,
110,3,Sun,September 18,4:00PM ET,L,True,0-3,True,Minnesota Vikings,16.0,19.0,20.0,306.0,192.0,114.0,2.0,18.0,354.0,264.0,90.0,,1983,,,
111,4,Sun,September 25,1:00PM ET,L,False,0-4,True,Cincinnati Bengals,17.0,23.0,22.0,343.0,291.0,52.0,4.0,19.0,267.0,146.0,121.0,2.0,1983,,,
112,5,Sun,October 2,1:00PM ET,L,False,0-5,False,Green Bay Packers,14.0,55.0,18.0,293.0,273.0,20.0,3.0,23.0,519.0,355.0,164.0,1.0,1983,,,
113,6,Sun,October 9,4:00PM ET,L,True,0-6,False,Dallas Cowboys,24.0,27.0,13.0,335.0,248.0,87.0,2.0,25.0,444.0,340.0,104.0,3.0,1983,,,
114,7,Sun,October 16,1:00PM ET,L,False,0-7,True,St. Louis Cardinals,27.0,34.0,17.0,270.0,196.0,74.0,3.0,17.0,279.0,143.0,136.0,2.0,1983,,,
115,8,Sun,October 23,4:00PM ET,L,False,0-8,True,New Orleans Saints,21.0,24.0,12.0,141.0,67.0,74.0,3.0,19.0,239.0,60.0,179.0,6.0,1983,,,
116,9,Sun,October 30,1:00PM ET,L,False,0-9,False,Pittsburgh Steelers,12.0,17.0,13.0,236.0,105.0,131.0,,21.0,338.0,209.0,129.0,7.0,1983,,,
117,10,Sun,November 6,1:00PM ET,W,False,1-9,False,Minnesota Vikings,17.0,12.0,11.0,275.0,67.0,208.0,2.0,18.0,247.0,179.0,68.0,1.0,1983,,,
118,11,Sun,November 13,1:00PM ET,L,False,1-10,False,Cleveland Browns,0.0,20.0,11.0,232.0,166.0,66.0,1.0,18.0,275.0,174.0,101.0,1.0,1983,,,
119,12,Sun,November 20,1:00PM ET,L,False,1-11,True,Chicago Bears,0.0,27.0,8.0,132.0,60.0,72.0,3.0,22.0,346.0,73.0,273.0,1.0,1983,,,
120,13,Sun,November 27,1:00PM ET,W,False,2-11,True,Houston Oilers,33.0,24.0,19.0,345.0,210.0,135.0,1.0,21.0,257.0,165.0,92.0,4.0,1983,,,
121,14,Sun,December 4,4:00PM ET,L,False,2-12,False,San Francisco 49ers,21.0,35.0,19.0,359.0,321.0,38.0,3.0,29.0,460.0,233.0,227.0,2.0,1983,,,
122,15,Mon,December 12,9:00PM ET,L,True,2-13,True,Green Bay Packers,9.0,12.0,12.0,239.0,146.0,93.0,3.0,21.0,363.0,268.0,95.0,4.0,1983,,,
123,16,Sun,December 18,4:00PM ET,L,False,2-14,False,Detroit Lions,20.0,23.0,21.0,393.0,349.0,44.0,2.0,19.0,338.0,207.0,131.0,2.0,1983,,,
124,1,Sun,September 2,1:00PM ET,L,False,0-1,False,Chicago Bears,14.0,34.0,11.0,254.0,165.0,89.0,8.0,20.0,327.0,144.0,183.0,2.0,1984,,,
125,2,Sun,September 9,1:00PM ET,L,False,0-2,False,New Orleans Saints,13.0,17.0,20.0,264.0,134.0,130.0,,17.0,333.0,203.0,130.0,,1984,,,
126,3,Sun,September 16,4:00PM ET,W,False,1-2,True,Detroit Lions,21.0,17.0,23.0,325.0,236.0,89.0,2.0,13.0,270.0,168.0,102.0,,1984,,,
127,4,Sun,September 23,4:00PM ET,L,False,1-3,False,New York Giants,14.0,17.0,22.0,326.0,189.0,137.0,2.0,17.0,280.0,161.0,119.0,,1984,,,
128,5,Sun,September 30,4:00PM ET,W,True,2-3,True,Green Bay Packers,30.0,27.0,25.0,406.0,226.0,180.0,5.0,18.0,383.0,216.0,167.0,4.0,1984,,,
129,6,Sun,October 7,1:00PM ET,W,False,3-3,True,Minnesota Vikings,35.0,31.0,18.0,314.0,212.0,102.0,,30.0,543.0,374.0,169.0,5.0,1984,,,
130,7,Sun,October 14,1:00PM ET,L,True,3-4,False,Detroit Lions,7.0,13.0,19.0,356.0,259.0,97.0,3.0,16.0,313.0,137.0,176.0,1.0,1984,,,
131,8,Sun,October 21,1:00PM ET,L,False,3-5,True,Chicago Bears,9.0,44.0,17.0,292.0,247.0,45.0,2.0,23.0,427.0,258.0,169.0,,1984,,,
132,9,Sun,October 28,1:00PM ET,L,False,3-6,False,Kansas City Chiefs,20.0,24.0,23.0,350.0,244.0,106.0,3.0,21.0,366.0,313.0,53.0,4.0,1984,,,
133,10,Sun,November 4,1:00PM ET,L,False,3-7,False,Minnesota Vikings,24.0,27.0,23.0,336.0,183.0,153.0,2.0,24.0,362.0,218.0,144.0,2.0,1984,,,
134,11,Sun,November 11,4:00PM ET,W,False,4-7,True,New York Giants,20.0,17.0,24.0,339.0,223.0,116.0,3.0,14.0,238.0,173.0,65.0,1.0,1984,,,
135,12,Sun,November 18,4:00PM ET,L,False,4-8,False,San Francisco 49ers,17.0,24.0,23.0,397.0,308.0,89.0,3.0,25.0,428.0,238.0,190.0,3.0,1984,,,
136,13,Sun,November 25,1:00PM ET,L,False,4-9,True,Los Angeles Rams,33.0,34.0,28.0,406.0,322.0,84.0,2.0,19.0,367.0,68.0,299.0,1.0,1984,,,
137,14,Sun,December 2,1:00PM ET,L,False,4-10,False,Green Bay Packers,14.0,27.0,19.0,275.0,175.0,100.0,6.0,20.0,311.0,205.0,106.0,4.0,1984,,,
138,15,Sun,December 9,1:00PM ET,W,False,5-10,True,Atlanta Falcons,23.0,6.0,21.0,335.0,192.0,143.0,,15.0,274.0,204.0,70.0,2.0,1984,,,
139,16,Sun,December 16,1:00PM ET,W,False,6-10,True,New York Jets,41.0,21.0,28.0,346.0,230.0,116.0,2.0,19.0,252.0,161.0,91.0,3.0,1984,,,
140,1,Sun,September 8,1:00PM ET,L,False,0-1,False,Chicago Bears,28.0,38.0,17.0,307.0,141.0,166.0,2.0,27.0,436.0,251.0,185.0,3.0,1985,,,
141,2,Sun,September 15,4:00PM ET,L,False,0-2,True,Minnesota Vikings,16.0,31.0,22.0,349.0,234.0,115.0,5.0,18.0,262.0,183.0,79.0,2.0,1985,,,
142,3,Sun,September 22,1:00PM ET,L,False,0-3,False,New Orleans Saints,13.0,20.0,20.0,334.0,220.0,114.0,3.0,18.0,338.0,226.0,112.0,2.0,1985,,,
143,4,Sun,September 29,1:00PM ET,L,False,0-4,False,Detroit Lions,9.0,30.0,19.0,277.0,158.0,119.0,4.0,18.0,315.0,221.0,94.0,1.0,1985,,,
144,5,Sun,October 6,1:00PM ET,L,False,0-5,True,Chicago Bears,19.0,27.0,19.0,373.0,346.0,27.0,3.0,22.0,433.0,286.0,147.0,3.0,1985,,,
145,6,Sun,October 13,1:00PM ET,L,False,0-6,True,Los Angeles Rams,27.0,31.0,15.0,210.0,151.0,59.0,5.0,14.0,282.0,148.0,134.0,4.0,1985,,,
146,7,Sun,October 20,4:00PM ET,L,False,0-7,False,Miami Dolphins,38.0,41.0,24.0,476.0,365.0,111.0,1.0,30.0,446.0,302.0,144.0,2.0,1985,,,
147,8,Sun,October 27,1:00PM ET,L,False,0-8,True,New England Patriots,14.0,32.0,14.0,209.0,130.0,79.0,2.0,18.0,420.0,223.0,197.0,2.0,1985,,,
148,9,Sun,November 3,1:00PM ET,L,False,0-9,False,New York Giants,20.0,22.0,20.0,316.0,228.0,88.0,1.0,23.0,342.0,167.0,175.0,,1985,,,
